DBN,female_percent,male_percent,poverty_percent,avg_home_value_sqft,district_admin_code,grade8_english,grade8_math,regents_algebra,regents_english,regents_history_global,regents_living_environ,sat_reading,sat_math,sat_writing,college_readiness_index,cuny_2yr,cuny_4yr,college_career_readiness_index,enrollment,graduation_rate,college_nys_private,college_nys_public,college_out_of_state,asian_percent,black_percent,ell_percent,hispanic_percent,self-contained_percent,disability_percent,white_percent,cte_percent,arts_percent,ap_exams_percent_scoring_3plus,act_percent_took_exam,sat_percent_took_exam,post-secondary_enroll_rate,student_attendance_rate,school_environment_survey,teacher_attendance,principal_year_exp,zip_code,dropouts_percent,major_crimes,violation_offenses,school_day_length,sat_score_overall,regents_score_overall,population_diversity,grade8_proficiency,all_crime,label
1511X290,0.668817222118,0.331182807684,1.0,391.916666667,11.0,2.21,2.13,64.0,71.0,58.0,68.0,380.0,386.0,391.0,0.271,0.116,0.137,0.218,465.0,0.699,0.021,0.189,0.053,0.047,0.447,0.095,0.473,0.041,0.228,0.019,0.0,0.0,0.008,0.165,0.594,0.526,0.893,0.77,0.967,2.8,10467.0,0.07518797,1334.0,1103.0,410.0,1157.0,261.0,0.43829433571,4.34,2437.0,0
1511X299,0.436974793673,0.56302523613,0.861344516277,227.0,11.0,2.35,2.27,65.0,72.0,67.0,67.0,417.0,422.0,409.0,0.222,0.137,0.078,0.294,476.0,0.706,0.049,0.137,0.029,0.065,0.334,0.05,0.479,0.034,0.231,0.105,0.0,0.0,0.087,0.063,0.579,0.441,0.88,0.73,0.966,4.6,10469.0,0.064516129,1334.0,1103.0,500.0,1248.0,271.0,0.368675416982,4.62,2437.0,0
1511X418,0.490683227777,0.50931674242,0.724637687206,156.0,11.0,2.31,2.1,61.0,69.0,62.0,69.0,428.0,408.0,404.0,0.117,0.163,0.049,0.208,483.0,0.517,0.065,0.081,0.016,0.037,0.273,0.017,0.615,0.095,0.265,0.068,0.0,0.1,0.017,0.017,0.325,0.382,0.862,0.74,0.953,4.0,10462.0,0.18487395,2452.0,1612.0,390.0,1240.0,261.0,0.465237528764,4.41,4064.0,0
1511X455,0.406219631433,0.593780398369,0.668124377728,391.916666667,11.0,2.22,2.09,61.0,69.0,71.0,68.0,401.0,400.0,391.0,0.108,0.096,0.044,0.365,2058.0,0.628,0.155,0.062,0.042,0.024,0.516,0.048,0.427,0.1,0.183,0.022,0.0,0.0,0.043,0.038,0.415,0.416,0.891,0.76,0.965,1.8,10475.0,0.178313253,1334.0,1103.0,420.0,1192.0,269.0,0.459702838401,4.31,2437.0,0
1511X508,0.461358308792,0.538641691208,0.800936758518,227.0,11.0,2.3,2.16,60.0,67.0,60.0,59.0,432.0,418.0,436.0,0.209,0.164,0.122,0.22,427.0,0.78,0.058,0.075,0.029,0.03,0.288,0.026,0.571,0.012,0.187,0.094,0.0,0.0,0.077,0.0,0.725,0.514,0.847,0.8,0.97,3.1,10469.0,0.0549451,1772.0,919.0,450.0,1286.0,246.0,0.433328952311,4.46,2691.0,0
1511X509,0.516949176788,0.483050853014,0.940677940845,227.0,11.0,1.91,1.97,62.0,66.0,54.0,57.0,340.0,356.0,320.0,0.523,0.164,0.122,0.636,354.0,0.727,0.058,0.075,0.029,0.167,0.119,0.737,0.576,0.0,0.031,0.11,0.0,0.0,0.011,0.0,0.727,0.514,0.89,0.8,0.977,4.0,10469.0,0.08988764,2452.0,1612.0,410.0,1016.0,239.0,0.408480668597,3.88,4064.0,0
1511X513,0.549019634724,0.450980395079,0.950980365276,239.083333333,11.0,1.91,2.05,68.0,66.0,57.0,60.0,363.0,407.0,358.0,0.453,0.279,0.235,0.488,408.0,0.884,0.029,0.0,0.044,0.137,0.093,0.625,0.662,0.002,0.056,0.076,0.0,0.0,0.233,0.0,0.93,0.588,0.906,0.85,0.969,10.0,10466.0,0.0,1061.0,586.0,420.0,1128.0,251.0,0.503122652141,3.96,1647.0,0
1511X514,0.489361703396,0.510638296604,0.76832151413,239.083333333,11.0,2.19,2.04,62.0,70.0,60.0,64.0,408.0,392.0,392.0,0.133,0.156,0.094,0.217,423.0,0.625,0.073,0.104,0.021,0.033,0.619,0.064,0.288,0.038,0.239,0.038,0.0,0.0,0.042,0.058,0.433,0.448,0.909,0.78,0.956,10.0,10466.0,0.127118644,1038.0,675.0,420.0,1192.0,256.0,0.489959058385,4.23,1713.0,0
1511X542,0.517382383347,0.482617586851,0.738241314888,227.0,11.0,2.5,2.35,64.0,77.0,65.0,67.0,433.0,420.0,425.0,0.283,0.167,0.219,0.867,489.0,0.858,0.031,0.188,0.188,0.055,0.356,0.02,0.489,0.047,0.19,0.065,0.0,0.0,0.186,0.053,0.77,0.792,0.928,0.82,0.963,3.8,10469.0,0.036036,1668.0,1075.0,450.0,1278.0,273.0,0.400662568123,4.85,2743.0,0
1511X544,0.454361051321,0.545638918877,1.0,391.916666667,11.0,2.23,2.07,59.0,65.0,50.0,57.0,381.0,367.0,361.0,0.16,0.246,0.068,0.167,493.0,0.597,0.051,0.11,0.008,0.008,0.381,0.077,0.592,0.101,0.29,0.01,0.0,0.0,0.035,0.0,0.41,0.492,0.788,0.66,0.96,0.6,10467.0,0.138888889,1038.0,675.0,405.0,1109.0,231.0,0.50483514089,4.3,1713.0,0
1511X545,0.185614854097,0.814385175705,1.0,391.916666667,11.0,2.22,2.15,58.0,70.0,57.0,63.0,410.0,403.0,393.0,0.35,0.149,0.138,0.388,431.0,0.68,0.034,0.046,0.023,0.023,0.292,0.116,0.645,0.058,0.318,0.021,0.0,0.0,0.039,0.0,0.505,0.414,0.807,0.77,0.941,1.0,10467.0,0.145631068,1038.0,675.0,480.0,1206.0,248.0,0.52190290338,4.37,1713.0,0
1512X242,0.479820638895,0.520179390907,0.865470826626,391.916666667,12.0,2.42,2.42,74.0,80.0,67.0,71.0,422.0,430.0,414.0,0.5,0.133,0.169,0.488,669.0,0.825,0.12,0.241,0.036,0.042,0.222,0.058,0.706,0.072,0.23,0.017,0.0,0.0,0.113,0.013,0.775,0.711,0.898,0.89,0.977,10.0,10472.0,0.0379747,1038.0,675.0,450.0,1266.0,292.0,0.56435074407,4.84,1713.0,0
1512X248,0.435582816601,0.564417183399,0.923312902451,177.333333333,12.0,2.11,2.09,64.0,66.0,59.0,60.0,388.0,387.0,386.0,0.102,0.107,0.036,0.148,326.0,0.648,0.119,0.083,0.0,0.009,0.215,0.218,0.748,0.049,0.276,0.003,0.0,0.0,0.08,0.011,0.659,0.381,0.827,0.86,0.975,0.4,10459.0,0.114942529,1664.0,1104.0,480.0,1161.0,249.0,0.637284944116,4.2,2768.0,0
1512X251,0.418994426727,0.581005573273,0.9217877388,391.916666667,12.0,2.13,2.07,61.0,65.0,56.0,65.0,372.0,377.0,365.0,0.086,0.188,0.01,0.075,358.0,0.591,0.052,0.021,0.031,0.008,0.271,0.182,0.698,0.003,0.235,0.02,0.0,0.0,0.022,0.043,0.43,0.323,0.824,0.83,0.955,7.9,10460.0,0.206521739,1038.0,675.0,450.0,1114.0,247.0,0.564490864771,4.2,1713.0,0
1512X267,0.487179487944,0.512820541859,0.923076927662,204.833333333,12.0,2.37,2.26,68.0,76.0,64.0,68.0,381.0,394.0,363.0,0.31,0.054,0.321,0.328,546.0,0.845,0.161,0.107,0.018,0.017,0.212,0.135,0.771,0.007,0.209,0.0,0.0,0.0,0.017,0.069,0.81,0.732,0.9,0.91,0.97,2.8,10456.0,0.068965517,1668.0,1075.0,405.0,1138.0,276.0,0.639674,4.63,2743.0,0
1512X271,0.487055003643,0.512944996357,0.912621378899,391.916666667,12.0,2.21,2.04,65.0,67.0,64.0,62.0,406.0,418.0,408.0,0.263,0.167,0.167,0.211,618.0,0.779,0.056,0.033,0.011,0.03,0.254,0.109,0.71,0.093,0.306,0.005,0.0,0.0,0.042,0.042,0.411,0.444,0.813,0.84,0.963,11.0,10460.0,0.12244898,1038.0,675.0,390.0,1232.0,258.0,0.570681792904,4.25,1713.0,0
1512X278,0.458823531866,0.541176497936,0.811764717102,177.333333333,12.0,2.03,1.9,59.0,63.0,55.0,59.0,362.0,366.0,365.0,0.034,0.045,0.0,0.017,170.0,0.288,0.0,0.045,0.015,0.006,0.441,0.188,0.524,0.124,0.282,0.018,0.0,0.0,0.0,0.0,0.271,0.134,0.693,0.82,0.961,0.4,10459.0,0.315789474,1061.0,586.0,390.0,1093.0,236.0,0.47991710637,3.93,1647.0,0
1512X372,0.47285464406,0.527145385742,1.0,391.916666667,12.0,2.32,2.18,64.0,76.0,57.0,64.0,397.0,393.0,379.0,0.108,0.239,0.075,0.241,571.0,0.771,0.03,0.104,0.0,0.022,0.253,0.067,0.694,0.006,0.217,0.022,0.0,0.012,0.072,0.0,0.711,0.493,0.837,0.83,0.965,0.9,10460.0,0.0361446,1038.0,675.0,380.0,1169.0,261.0,0.55658647301,4.5,1713.0,0
1512X388,0.45560747385,0.54439252615,0.922897219658,391.916666667,12.0,1.75,1.86,67.0,70.0,64.0,67.0,315.0,317.0,292.0,0.433,0.208,0.0,0.744,428.0,0.878,0.038,0.245,0.019,0.0,0.0,0.923,1.0,0.009,0.026,0.0,0.0,0.0,0.722,0.3,0.656,0.547,0.888,0.98,0.97,7.0,10472.0,0.0561798,1655.0,738.0,540.0,924.0,268.0,1.0,3.61,2393.0,0
1512X478,0.579881668091,0.420118331909,0.825443804264,391.916666667,12.0,2.58,2.45,68.0,76.0,69.0,67.0,449.0,430.0,448.0,0.351,0.155,0.121,0.436,338.0,0.979,0.103,0.121,0.034,0.038,0.219,0.033,0.698,0.0,0.083,0.041,0.0,0.0,0.074,0.064,0.883,0.569,0.9,0.82,0.98,2.0,10472.0,0.0212766,1668.0,1075.0,435.0,1327.0,280.0,0.542622296415,5.03,2743.0,0
1512X479,0.552552580833,0.447447448969,0.846846818924,204.833333333,12.0,2.16,2.05,60.0,66.0,57.0,65.0,379.0,370.0,381.0,0.066,0.092,0.053,0.253,333.0,0.462,0.053,0.026,0.039,0.009,0.405,0.153,0.568,0.036,0.291,0.006,0.0,0.0,0.0,0.0,0.407,0.289,0.793,0.85,0.972,6.0,10456.0,0.164835165,1655.0,738.0,375.0,1130.0,248.0,0.498662082644,4.21,2393.0,0
1512X511,0.546478867531,0.453521132469,0.822535216808,391.916666667,12.0,2.22,2.14,60.0,71.0,48.0,57.0,385.0,364.0,366.0,0.099,0.164,0.122,0.284,355.0,0.741,0.058,0.075,0.029,0.02,0.344,0.13,0.603,0.008,0.211,0.02,0.0,0.185,0.0,0.0,0.765,0.514,0.82,0.77,0.957,4.0,10460.0,0.098765432,1655.0,738.0,410.0,1115.0,236.0,0.495545434108,4.36,2393.0,0
1512X521,0.459134608507,0.540865361691,0.899038434029,391.916666667,12.0,2.16,2.16,64.0,72.0,56.0,64.0,428.0,444.0,422.0,0.35,0.164,0.122,0.23,416.0,0.76,0.058,0.075,0.029,0.026,0.262,0.13,0.673,0.026,0.226,0.017,0.0,0.0,0.04,0.0,0.52,0.514,0.788,0.88,0.966,4.0,10472.0,0.06,1655.0,738.0,430.0,1294.0,256.0,0.546311281736,4.32,2393.0,0
1512X550,0.473170727491,0.526829242706,0.763414621353,391.916666667,12.0,1.91,1.94,57.0,57.0,61.0,58.0,359.0,356.0,347.0,0.098,0.2,0.05,0.275,410.0,0.559,0.075,0.013,0.025,0.08,0.083,0.846,0.802,0.0,0.0,0.012,0.0,0.0,0.147,0.059,0.382,0.413,0.848,0.8,0.979,11.8,10472.0,0.128712871,1655.0,738.0,480.0,1062.0,233.0,0.687917286955,3.85,2393.0,0
1512X682,0.470212757587,0.529787242413,1.0,391.916666667,12.0,2.12,2.05,65.0,65.0,64.0,67.0,347.0,345.0,339.0,0.12,0.136,0.112,0.611,470.0,0.657,0.056,0.144,0.008,0.004,0.285,0.081,0.704,0.113,0.294,0.002,0.0,0.0,0.056,0.028,0.75,0.472,0.817,0.86,0.953,0.8,10460.0,0.092592593,1033.0,374.0,360.0,1031.0,261.0,0.582673164819,4.17,1407.0,0
1512X684,0.371257483959,0.628742516041,0.854291439056,391.916666667,12.0,2.18,2.1,56.0,71.0,57.0,59.0,372.0,379.0,373.0,0.1,0.144,0.063,0.083,501.0,0.617,0.036,0.117,0.054,0.008,0.585,0.034,0.379,0.022,0.242,0.012,0.0,0.0,0.042,0.017,0.492,0.45,0.819,0.74,0.956,1.6,10460.0,0.084033613,1033.0,374.0,420.0,1124.0,243.0,0.502009799061,4.28,1407.0,0
1512X692,0.449438214302,0.550561785698,0.898876428604,391.916666667,12.0,2.05,2.01,66.0,67.0,58.0,62.0,354.0,361.0,351.0,0.046,0.189,0.038,0.046,445.0,0.523,0.019,0.028,0.009,0.011,0.18,0.243,0.784,0.09,0.256,0.009,0.0,0.0,0.0,0.037,0.468,0.283,0.771,0.74,0.945,10.0,10472.0,0.174311927,1033.0,374.0,390.0,1066.0,253.0,0.668478171062,4.06,1407.0,0
1513K265,0.627078413963,0.372921615839,0.80047506094,586.166666667,13.0,2.31,2.07,59.0,76.0,54.0,65.0,346.0,332.0,350.0,0.014,0.068,0.082,0.261,421.0,0.507,0.068,0.014,0.178,0.007,0.73,0.033,0.228,0.003,0.205,0.007,0.0,0.246,0.043,0.043,0.551,0.425,0.792,0.81,0.986,0.8,11205.0,0.086956522,1655.0,738.0,435.0,1028.0,254.0,0.619170096022,4.38,2393.0,0
1513K350,0.645994842052,0.354005157948,0.775193810463,1030.66666667,13.0,2.3,2.11,63.0,72.0,56.0,61.0,372.0,372.0,361.0,0.041,0.202,0.095,0.0,387.0,0.561,0.083,0.107,0.024,0.005,0.775,0.026,0.207,0.052,0.24,0.005,0.0,0.0,0.0,0.01,0.551,0.524,0.816,0.79,0.952,10.0,11201.0,0.183673469,1033.0,374.0,450.0,1105.0,252.0,0.653945271852,4.41,1407.0,0
1513K412,0.54455447197,0.455445557833,0.792079210281,586.166666667,13.0,2.26,2.07,61.0,69.0,61.0,60.0,386.0,358.0,380.0,0.136,0.146,0.155,0.288,404.0,0.78,0.058,0.039,0.019,0.012,0.785,0.05,0.178,0.0,0.205,0.007,0.0,0.0,0.017,0.017,0.517,0.466,0.841,0.84,0.985,9.0,11205.0,0.093220339,1655.0,738.0,410.0,1124.0,251.0,0.672079093749,4.33,2393.0,0
1513K419,0.445075750351,0.554924249649,0.825757563114,1030.66666667,13.0,2.45,2.32,61.0,68.0,64.0,68.0,397.0,399.0,386.0,0.22,0.137,0.235,0.264,528.0,0.725,0.029,0.059,0.039,0.068,0.705,0.042,0.184,0.004,0.172,0.021,0.0,0.0,0.044,0.066,0.659,0.51,0.897,0.74,0.973,3.2,11201.0,0.120879121,1033.0,374.0,453.0,1182.0,261.0,0.560329289356,4.77,1407.0,0
1513K430,0.411235541105,0.588764429092,0.650266230106,948.333333333,13.0,3.7,3.88,81.0,89.0,92.0,91.0,608.0,682.0,606.0,0.972,0.019,0.316,0.995,5447.0,0.974,0.256,0.223,0.146,0.605,0.077,0.001,0.076,0.0,0.016,0.205,0.196,0.0,0.79,0.412,0.955,0.962,0.968,0.85,0.971,9.3,11217.0,0.00300752,1655.0,738.0,390.0,1896.0,353.0,0.452629967144,7.58,2393.0,1
1513K439,0.489855080843,0.510144948959,1.0,1030.66666667,13.0,1.82,2.35,65.0,67.0,64.0,67.0,334.0,432.0,333.0,0.622,0.286,0.107,0.634,345.0,0.902,0.155,0.143,0.012,0.417,0.177,0.794,0.267,0.0,0.023,0.139,0.0,0.0,0.0,0.0,0.927,0.714,0.936,0.93,0.978,0.8,11201.0,0.0609756,1038.0,675.0,375.0,1099.0,263.0,0.295828,4.17,1713.0,1
1513K483,0.544642865658,0.455357134342,0.776785731316,1030.66666667,13.0,2.58,2.37,67.0,84.0,77.0,67.0,443.0,446.0,430.0,0.371,0.14,0.243,0.857,448.0,0.857,0.103,0.131,0.168,0.02,0.714,0.007,0.219,0.002,0.141,0.009,0.0,0.0,0.238,0.0,0.876,0.794,0.916,0.84,0.966,2.0,11201.0,0.0190476,632.0,364.0,420.0,1319.0,295.0,0.603210999261,4.95,996.0,0
1513K499,0.442460328341,0.557539701462,0.847222208977,851.583333333,13.0,2.23,2.08,66.0,66.0,65.0,63.0,395.0,379.0,385.0,0.113,0.146,0.23,0.167,504.0,0.493,0.028,0.062,0.051,0.01,0.835,0.034,0.129,0.04,0.272,0.016,0.0,0.0,0.02,0.107,0.613,0.528,0.792,0.78,0.955,5.0,11238.0,0.153333333,632.0,364.0,420.0,1159.0,260.0,0.728723599633,4.31,996.0,0
1513K527,1.0,0.0,0.819148957729,1030.66666667,13.0,2.49,2.27,63.0,74.0,65.0,70.0,415.0,397.0,407.0,0.23,0.4,0.164,0.568,470.0,0.838,0.091,0.073,0.145,0.035,0.736,0.025,0.148,0.011,0.155,0.049,0.0,0.0,0.014,0.027,0.824,0.891,0.905,0.82,0.965,4.8,11201.0,0.0547945,956.0,442.0,410.0,1219.0,272.0,0.605348422239,4.76,1398.0,0
1513K595,0.502747237682,0.497252732515,0.604395627975,391.916666667,13.0,2.82,2.69,75.0,86.0,84.0,83.0,464.0,505.0,456.0,0.709,0.066,0.275,0.797,364.0,0.962,0.066,0.253,0.165,0.03,0.846,0.011,0.077,0.0,0.113,0.008,0.0,0.0,0.266,0.152,0.962,0.824,0.959,0.87,0.976,6.9,11216.0,0.0,956.0,442.0,495.0,1425.0,328.0,0.782449993016,5.51,1398.0,1
1513K605,0.269716084003,0.730283915997,0.826498448849,1030.66666667,13.0,2.33,2.18,57.0,70.0,58.0,59.0,422.0,394.0,400.0,0.107,0.103,0.144,0.27,634.0,0.742,0.128,0.046,0.015,0.025,0.744,0.022,0.197,0.06,0.183,0.021,0.057,0.0,0.013,0.019,0.453,0.467,0.858,0.78,0.969,6.9,11201.0,0.0443038,956.0,442.0,420.0,1216.0,244.0,0.609145846357,4.51,1398.0,0
1513K670,0.555676877499,0.444323152304,0.502183377743,586.166666667,13.0,3.11,2.86,64.0,81.0,76.0,75.0,484.0,479.0,472.0,0.505,0.138,0.179,0.626,916.0,0.916,0.108,0.195,0.185,0.034,0.864,0.001,0.086,0.012,0.053,0.005,0.0,0.0,0.154,0.215,0.855,0.805,0.896,0.78,0.945,3.8,11205.0,0.0186047,632.0,364.0,420.0,1435.0,296.0,0.771962773522,5.97,996.0,0
1513K674,0.259825319052,0.740174651146,0.731441020966,1030.66666667,13.0,2.55,2.49,68.0,75.0,65.0,67.0,477.0,503.0,427.0,0.613,0.035,0.326,0.734,458.0,0.887,0.0,0.023,0.047,0.066,0.697,0.024,0.197,0.037,0.205,0.035,0.194,0.0,0.0,0.0,0.185,0.558,0.881,0.8,0.973,1.8,11201.0,0.0087719,632.0,364.0,447.0,1407.0,275.0,0.535541021691,5.04,996.0,1
1514K071,0.459537565708,0.540462434292,1.0,391.916666667,14.0,2.04,2.0,61.0,62.0,51.0,61.0,356.0,366.0,353.0,0.069,0.126,0.158,0.161,692.0,0.483,0.074,0.095,0.0,0.003,0.136,0.231,0.827,0.03,0.279,0.025,0.0,0.0,0.126,0.069,0.563,0.463,0.861,0.82,0.958,2.8,11206.0,0.2,1038.0,675.0,375.0,1075.0,235.0,0.715886978773,4.04,1713.0,0
1514K322,0.495575219393,0.504424750805,0.805309712887,391.916666667,14.0,2.14,1.99,52.0,64.0,46.0,51.0,409.5,410.0,402.0,0.054,0.04,0.08,0.0,113.0,0.324,0.04,0.0,0.0,0.018,0.673,0.062,0.292,0.027,0.327,0.0,0.0,0.0,0.0,0.0,0.189,0.16,0.742,0.75,0.967,1.1,11206.0,0.277777778,1038.0,675.0,420.0,1221.5,213.0,0.557304284743,4.13,1713.0,0
1514K449,0.452662736177,0.547337293625,0.671597659588,391.916666667,14.0,3.56,3.62,72.0,95.0,82.0,87.0,588.0,625.0,591.0,0.975,0.036,0.297,0.994,676.0,0.981,0.162,0.189,0.234,0.361,0.194,0.001,0.145,0.0,0.022,0.135,0.0,0.0,0.0,0.373,0.975,0.919,0.943,0.89,0.971,2.0,11206.0,0.0,1185.0,616.0,390.0,1804.0,336.0,0.297188138693,7.18,1801.0,1
1514K454,0.514492750168,0.485507249832,0.818840563297,391.916666667,14.0,2.19,2.03,60.0,67.0,50.0,60.0,398.0,384.0,399.0,0.053,0.126,0.074,0.695,276.0,0.653,0.021,0.074,0.021,0.007,0.38,0.254,0.591,0.011,0.221,0.014,0.0,0.0,0.0,0.0,0.411,0.347,0.837,0.83,0.97,3.4,11206.0,0.2,956.0,442.0,450.0,1181.0,237.0,0.501924671566,4.22,1398.0,0
1514K474,0.466302365065,0.533697605133,0.795081973076,391.916666667,14.0,2.21,2.11,61.0,69.0,63.0,59.0,377.0,380.0,384.0,0.116,0.168,0.115,0.207,1098.0,0.681,0.042,0.046,0.015,0.01,0.351,0.143,0.626,0.026,0.183,0.008,0.0,0.0,0.014,0.014,0.449,0.405,0.827,0.78,0.967,18.0,11211.0,0.115384615,1551.0,939.0,405.0,1141.0,252.0,0.520432312315,4.32,2490.0,0
1514K477,0.484949827194,0.515050172806,0.859531760216,391.916666667,14.0,2.26,2.11,61.0,72.0,54.0,60.0,390.0,393.0,394.0,0.101,0.06,0.104,0.152,598.0,0.404,0.011,0.077,0.027,0.01,0.458,0.166,0.5,0.017,0.189,0.013,0.0,0.0,0.0,0.006,0.348,0.306,0.779,0.81,0.969,6.4,11211.0,0.235294118,1551.0,939.0,450.0,1177.0,247.0,0.478025397954,4.37,2490.0,0
1514K478,0.327672332525,0.672327697277,0.820179820061,391.916666667,14.0,2.4,2.36,62.0,71.0,62.0,69.0,446.0,463.0,425.0,0.32,0.252,0.212,0.774,1001.0,0.756,0.084,0.144,0.044,0.04,0.361,0.075,0.569,0.033,0.161,0.025,0.436,0.0,0.113,0.019,0.545,0.736,0.894,0.9,0.957,4.8,11211.0,0.101503759,1551.0,939.0,480.0,1334.0,264.0,0.460904522613,4.76,2490.0,0
1514K488,0.522267222404,0.477732807398,0.785425126553,391.916666667,14.0,2.45,2.25,65.0,74.0,65.0,70.0,406.0,391.0,391.0,0.191,0.164,0.112,0.109,494.0,0.864,0.069,0.086,0.043,0.024,0.547,0.036,0.403,0.008,0.176,0.02,0.0,0.0,0.055,0.091,0.745,0.474,0.899,0.93,0.957,4.9,11211.0,0.0555556,1551.0,939.0,410.0,1188.0,274.0,0.468195490853,4.7,2490.0,0
1514K558,0.230252102017,0.769747912884,0.773109257221,391.916666667,14.0,2.36,2.29,70.0,80.0,68.0,80.0,424.0,415.0,407.0,0.318,0.147,0.276,0.899,595.0,0.932,0.026,0.06,0.026,0.024,0.316,0.042,0.6,0.005,0.266,0.042,0.689,0.0,0.007,0.02,0.601,0.56,0.922,0.97,0.972,6.5,11211.0,0.027027,1551.0,939.0,420.0,1246.0,298.0,0.47929534057,4.65,2490.0,0
1514K561,0.514662742615,0.485337257385,0.79472142458,391.916666667,14.0,2.55,2.43,70.0,77.0,71.0,67.0,440.0,443.0,430.0,0.448,0.216,0.18,0.901,682.0,0.913,0.126,0.198,0.03,0.026,0.164,0.032,0.696,0.012,0.15,0.1,0.0,0.0,0.203,0.215,0.878,0.766,0.909,0.86,0.967,4.5,11211.0,0.0409357,1664.0,1104.0,420.0,1313.0,285.0,0.53691642426,4.98,2768.0,0
1514K586,0.444230765104,0.555769205093,0.865384638309,391.916666667,14.0,2.2,2.03,65.0,69.0,57.0,67.0,376.0,374.0,357.0,0.113,0.111,0.111,0.085,520.0,0.648,0.012,0.025,0.049,0.018,0.398,0.128,0.558,0.003,0.214,0.024,0.0,0.0,0.0,0.099,0.563,0.309,0.799,0.84,0.969,8.0,11206.0,0.130434783,1725.0,964.0,410.0,1107.0,258.0,0.472556335115,4.23,2689.0,0
1514K610,0.0391644909978,0.960835516453,0.7232375741,937.083333333,14.0,2.14,2.1,60.0,56.0,53.0,49.0,381.0,367.0,328.0,0.031,0.119,0.022,0.173,383.0,0.459,0.015,0.067,0.015,0.016,0.559,0.07,0.381,0.094,0.292,0.029,0.143,0.0,0.01,0.01,0.316,0.261,0.805,0.79,0.97,3.9,11222.0,0.25,1725.0,964.0,425.0,1076.0,218.0,0.472817130047,4.24,2689.0,0
1514K614,1.0,0.0,0.776315808296,391.916666667,14.0,2.58,2.32,66.0,76.0,62.0,72.0,409.5,410.0,402.0,0.333,0.164,0.122,0.378,380.0,1.0,0.058,0.075,0.029,0.033,0.638,0.021,0.283,0.0,0.158,0.008,0.0,0.0,0.156,0.0,0.0,0.514,0.922,0.85,0.975,7.0,11206.0,0.0,1500.0,1013.0,435.0,1221.5,276.0,0.527623497478,4.9,2513.0,0
1514K632,0.288732379675,0.711267590523,0.866197168827,937.083333333,14.0,2.15,2.06,68.0,65.0,58.0,66.0,413.0,399.0,400.0,0.049,0.088,0.147,0.171,142.0,0.732,0.029,0.059,0.088,0.007,0.627,0.056,0.324,0.0,0.289,0.021,0.0,0.0,0.0,0.341,0.463,0.412,0.852,0.83,0.982,2.0,11222.0,0.097560976,1500.0,1013.0,420.0,1212.0,257.0,0.520214598499,4.21,2513.0,0
1514K685,0.551020383835,0.448979586363,0.81632655859,391.916666667,14.0,2.23,2.1,65.0,72.0,64.0,67.0,380.0,344.0,379.0,0.036,0.085,0.0,0.732,245.0,0.661,0.17,0.106,0.021,0.0,0.118,0.155,0.853,0.0,0.245,0.012,0.0,0.0,0.0,0.0,0.625,0.383,0.852,0.86,0.962,4.0,11211.0,0.107142857,1500.0,1013.0,390.0,1103.0,268.0,0.76755194357,4.33,2513.0,0
1515K429,0.391999989748,0.60799998045,0.856000006199,1030.66666667,15.0,2.27,2.13,57.0,75.0,59.0,60.0,381.0,393.0,402.0,0.088,0.04,0.08,0.353,250.0,0.706,0.06,0.1,0.02,0.024,0.548,0.078,0.355,0.0,0.259,0.066,0.0,0.0,0.0,0.0,0.618,0.3,0.845,0.78,0.956,1.7,11201.0,0.117647059,1725.0,964.0,385.0,1176.0,251.0,0.437362646278,4.4,2689.0,0
1515K448,0.491970807314,0.508029222488,0.741605818272,974.666666667,15.0,2.44,2.18,65.0,74.0,64.0,67.0,411.0,401.0,404.0,0.534,0.13,0.13,0.886,685.0,0.886,0.109,0.196,0.098,0.058,0.385,0.033,0.453,0.0,0.275,0.093,0.0,0.0,0.0,0.011,0.841,0.663,0.846,0.85,0.964,0.9,11231.0,0.0227273,1725.0,964.0,380.0,1216.0,270.0,0.373621464011,4.62,2689.0,0
1515K462,0.609686613083,0.390313386917,0.803418815136,907.75,15.0,2.43,2.22,66.0,65.0,62.0,63.0,424.0,420.0,414.0,0.265,0.155,0.291,0.301,351.0,0.892,0.019,0.087,0.039,0.02,0.664,0.02,0.259,0.006,0.14,0.034,0.0,0.0,0.036,0.012,0.747,0.621,0.86,0.89,0.959,5.0,11215.0,0.0361446,1725.0,964.0,407.0,1258.0,256.0,0.533805677984,4.65,2689.0,0
1515K463,0.585964918137,0.414035081863,0.785964906216,907.75,15.0,2.33,2.14,57.0,74.0,57.0,60.0,435.0,408.0,415.0,0.175,0.121,0.152,0.225,285.0,0.638,0.076,0.015,0.015,0.074,0.467,0.126,0.375,0.0,0.207,0.063,0.0,0.0,0.0,0.0,0.588,0.409,0.802,0.79,0.972,0.9,11215.0,0.125,1500.0,1013.0,407.0,1258.0,248.0,0.384122757687,4.47,2513.0,0
1515K464,0.451536655426,0.548463344574,0.773049652576,907.75,15.0,2.26,2.17,63.0,69.0,55.0,66.0,377.0,405.0,395.0,0.173,0.203,0.172,0.712,423.0,0.654,0.031,0.016,0.047,0.079,0.464,0.105,0.365,0.003,0.191,0.036,0.0,0.0,0.0,0.0,0.596,0.469,0.891,0.83,0.965,11.0,11215.0,0.098039216,1500.0,1013.0,420.0,1177.0,253.0,0.399555174519,4.43,2513.0,0
