DBN,female_percent,male_percent,poverty_percent,avg_home_value_sqft,district_admin_code,grade8_english,grade8_math,regents_algebra,regents_english,regents_history_global,regents_living_environ,sat_reading,sat_math,sat_writing,college_readiness_index,cuny_2yr,cuny_4yr,college_career_readiness_index,enrollment,graduation_rate,college_nys_private,college_nys_public,college_out_of_state,asian_percent,black_percent,ell_percent,hispanic_percent,self-contained_percent,disability_percent,white_percent,cte_percent,arts_percent,ap_exams_percent_scoring_3plus,act_percent_took_exam,sat_percent_took_exam,post-secondary_enroll_rate,student_attendance_rate,school_environment_survey,teacher_attendance,principal_year_exp,zip_code,dropouts_percent,major_crimes,violation_offenses,school_day_length,sat_score_overall,regents_score_overall,population_diversity,grade8_proficiency,all_crime,label
1403M415,0.681732594967,0.318267434835,1.0,818.916666667,3.0,2.342186,2.133388,61.0,61.0,51.0,64.0,396.0,395.0,404.0,0.147,0.095,0.021,0.442,457.0,0.495,0.043,0.064,0.011,0.015317,0.527352,0.052516,0.442013,0.098468,0.231947,0.013129,0.0,0.442,0.0,0.032,0.463,0.234,0.813,0.767,0.954,2.4,10026.0,0.172043011,920.0,569.0,465.0,1195.0,237.0,0.475964095325,4.475574,1489.0,0
1403M417,0.557640731335,0.442359238863,0.514745295048,391.916666667,3.0,2.865765,2.607294,71.0,80.0,81.0,75.0,501.0,467.0,500.0,0.479,0.164,0.122,0.466,373.0,0.945,0.058,0.075,0.029,0.101877,0.152815,0.010724,0.423592,0.016086,0.203753,0.297587,0.0,0.0,0.014,0.11,0.918,0.514,0.931,0.895,0.973,4.0,10024.0,0.0,969.0,517.0,405.0,1468.0,307.0,0.316824406698,5.473059,1486.0,0
1403M479,0.629310369492,0.370689660311,0.289184957743,1431.08333333,3.0,3.49827,3.244171,65.0,85.0,64.0,67.0,565.0,568.0,577.0,0.813,0.0,0.103,0.885,1276.0,0.99,0.214,0.172,0.351,0.092476,0.148119,0.0,0.246082,0.003135,0.06348,0.474922,0.0,0.0,0.27,0.345,0.796,0.84,0.954,0.905,0.981,9.9,10036.0,0.0,969.0,517.0,420.0,1710.0,281.0,0.34238961222,6.742441,1486.0,1
1403M485,0.728937745094,0.271062284708,0.320879131556,391.916666667,3.0,3.558391,3.343807,80.0,87.0,87.0,87.0,589.0,588.0,599.0,0.914,0.103,0.127,0.99,2730.0,0.988,0.178,0.154,0.234,0.193773,0.116484,0.001465,0.191209,0.000366,0.030403,0.460073,0.0,0.868,0.668,0.286,0.913,0.796,0.953,0.845,0.962,0.8,10023.0,0.0,969.0,517.0,480.0,1776.0,341.0,0.323770697027,6.902198,1486.0,1
1403M492,0.53483992815,0.46516007185,0.890772104263,391.916666667,3.0,2.378264,2.206046,66.0,72.0,65.0,68.0,400.0,390.0,396.0,0.164,0.138,0.177,0.345,531.0,0.724,0.048,0.081,0.032,0.011299,0.438795,0.082863,0.512241,0.090395,0.190207,0.024482,0.0,0.0,0.147,0.017,0.629,0.476,0.828,0.832,0.964,2.8,10023.0,0.139130435,969.0,517.0,435.0,1186.0,271.0,0.467914647853,4.58431,1486.0,0
1403M494,0.319727897644,0.680272102356,0.928571403027,391.916666667,3.0,2.3108,2.231458,63.0,65.0,54.0,64.0,428.0,402.0,401.0,0.137,0.178,0.097,0.137,588.0,0.612,0.028,0.083,0.007,0.042517,0.307823,0.12415,0.610544,0.081633,0.232993,0.028912,0.0,0.0,0.029,0.05,0.511,0.393,0.812,0.728,0.96,11.8,10023.0,0.131386861,969.0,517.0,405.0,1231.0,246.0,0.479906538287,4.542258,1486.0,0
1403M541,0.589130461216,0.410869568586,0.665217399597,391.916666667,3.0,3.169406,3.172684,82.0,87.0,85.0,84.0,514.0,545.0,505.0,0.881,0.336,0.534,1.0,460.0,0.983,0.009,0.009,0.0,0.223913,0.18913,0.002174,0.408696,0.01087,0.073913,0.130435,0.0,0.0,0.0,0.763,0.966,0.888,0.97,0.936,0.972,0.8,10023.0,0.0,969.0,517.0,390.0,1564.0,338.0,0.297752459325,6.34209,1486.0,1
1403M859,0.518324613571,0.481675386429,0.141361251473,391.916666667,3.0,3.074865,2.912703,73.0,71.0,64.0,81.0,409.5,410.0,402.0,0.221,0.164,0.122,0.365,51.0,0.738,0.058,0.075,0.029,0.215686,0.235294,0.058824,0.078431,0.019608,0.235294,0.254902,0.0,0.0,0.045,0.04,0.632,0.514,0.963,0.947,0.947,4.2,10023.0,0.0752283935,969.0,517.0,480.0,1221.5,289.0,0.281250175313,5.987568,1486.0,0
1403M860,0.419580429792,0.58041960001,0.794871807098,818.916666667,3.0,2.149891,2.013129,59.0,68.0,56.0,66.0,383.0,356.0,375.0,0.085,0.184,0.066,0.763,316.0,0.729,0.053,0.105,0.013,0.015823,0.702532,0.085443,0.256329,0.088608,0.275316,0.006329,0.0,0.0,0.034,0.051,0.763,0.421,0.828,0.785,0.962,3.9,10026.0,0.0508475,920.0,569.0,420.0,1114.0,249.0,0.581415249745,4.16302,1489.0,0
1404M372,0.509433984756,0.490566045046,0.957547187805,850.75,4.0,2.249273,2.173277,62.0,63.0,56.0,62.0,409.5,410.0,402.0,0.221,0.164,0.122,0.365,148.0,0.738,0.058,0.075,0.029,0.013514,0.155405,0.452703,0.804054,0.148649,0.25,0.013514,0.0,0.0,0.045,0.04,0.632,0.514,0.89,0.869,0.977,0.7,10029.0,0.0752283935,1062.0,855.0,420.0,1221.5,243.0,0.689528082661,4.42255,1917.0,0
1404M409,0.443729907274,0.556270122528,1.0,391.916666667,4.0,2.152433,2.034535,59.0,64.0,54.0,60.0,367.0,360.0,365.0,0.045,0.051,0.102,0.057,311.0,0.273,0.051,0.082,0.01,0.025723,0.414791,0.090032,0.533762,0.144695,0.29582,0.016077,0.0,0.023,0.011,0.011,0.398,0.296,0.79,0.853,0.961,2.8,10035.0,0.235294118,1111.0,749.0,405.0,1092.0,237.0,0.466837301854,4.186968,1860.0,0
1404M435,0.491813600063,0.508186399937,0.832493722439,850.75,4.0,3.029177,3.16975,81.0,81.0,76.0,80.0,483.0,542.0,474.0,0.746,0.257,0.193,0.84,1588.0,0.936,0.135,0.099,0.083,0.193955,0.193955,0.039673,0.573048,0.009446,0.076196,0.028967,0.0,0.0,0.402,0.196,0.863,0.767,0.922,0.858,0.973,7.0,10029.0,0.0203562,1111.0,749.0,385.0,1499.0,318.0,0.412734894657,6.198927,1860.0,1
1404M495,0.515892446041,0.484107583761,0.889975547791,850.75,4.0,2.454105,2.327206,78.0,73.0,64.0,77.0,410.0,411.0,409.0,0.341,0.109,0.207,0.683,409.0,0.927,0.043,0.152,0.043,0.0489,0.310513,0.036675,0.611247,0.01956,0.163814,0.01467,0.0,0.0,0.244,0.366,0.817,0.554,0.908,0.924,0.978,9.0,10029.0,0.0121951,1062.0,855.0,390.0,1230.0,292.0,0.486826352908,4.781311,1917.0,0
1404M555,0.686847627163,0.313152402639,0.901878893375,850.75,4.0,2.668877,2.532571,79.0,78.0,73.0,76.0,449.0,458.0,448.0,0.649,0.346,0.184,0.716,479.0,0.978,0.08,0.103,0.057,0.05428,0.246347,0.031315,0.661795,0.02714,0.17119,0.02714,0.0,0.0,0.254,0.03,0.963,0.77,0.932,0.933,0.97,9.0,10029.0,0.0075188,1062.0,855.0,420.0,1355.0,306.0,0.512995772342,5.201448,1917.0,1
1404M610,1.0,0.0,0.810344815254,850.75,4.0,2.848643,2.783273,76.0,83.0,79.0,81.0,454.0,462.0,463.0,0.615,0.239,0.104,0.492,300.0,1.0,0.239,0.254,0.134,0.08,0.333333,0.023333,0.536667,0.006667,0.133333,0.03,0.0,0.0,0.215,0.046,1.0,0.97,0.95,0.929,0.971,7.0,10029.0,0.0,1062.0,855.0,390.0,1379.0,319.0,0.423180297561,5.631916,1917.0,1
