% Female,% Male,% Poverty,% of 4-year Cohort Taking SAT Math,2015_avg_home_value_sqft,Administrative District Code,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Average Score Regents Algebra,Average Score Regents Algebra 2/Trig,Average Score Regents Chemistry,Average Score Regents Earth Science,Average Score Regents English,Average Score Regents Geometry,Average Score Regents Global History,Average Score Regents Languages Other Than English,Average Score Regents Living Environment,Average Score Regents Physics,Average Score Regents US History,Average Score SAT Critical Reading,Average Score SAT Math,Average Score SAT Writing,CRI (Percentage of 4 year Cohort),CUNY 2-Year (6 months),CUNY 4-Year (6 months),College and Career Preparatory Course Index,DBN,Enrollment,Geographical District Code,"Metric Value - Graduation Rate, 4 year",NYS Private (6 months),NYS Public (6 months),Out of State (6 months),Percent Asian,Percent Black,Percent English Language Learners,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percentage Earning a Diploma with a CTE Endorsement,Percentage Earning a Diploma with an Arts Endorsement,Percentage Passing an Industry-Recognized Technical Assessment,Percentage of 4-year Cohort Taking ACT Math,Percentage of 4-year Cohort Taking SAT Math,Post-secondary Enrollment Rate (6 months),Public Service (6 months),Student Attendance Rate,Supportive Environment - Percent Positive,Teacher Attendance Rate,Vocational Program (6 months),Years of principal experience at this school,Zip,class_grad_year,dropouts_percent,end_time,school_type,start_time
0.576923072338,0.423076927662,0.443438917398,0.96,,2.0,3.12,2.81,70.0,,,,86.0,,79.0,,77.0,,85.0,515.0,518.0,503.0,0.75,0.071,0.224,0.47,02M376,442.0,2.0,0.99,0.184,0.112,0.214,0.086,0.199,0.002,0.398,0.007,0.129,0.287,0.0,0.0,0.0,0.29,,0.806,0.0,0.94,0.92,0.98,0.0,2.8,10013.0,2015,0.0,4:00 PM,,9:00 AM
0.413242012262,0.58675801754,0.767123281956,0.697,,2.0,2.34,2.26,62.0,46.0,69.0,56.0,76.0,60.0,69.0,94.0,75.0,,84.0,407.0,410.0,399.0,0.394,0.16,0.053,0.475,02M392,438.0,2.0,0.869,0.08,0.173,0.133,0.034,0.281,0.055,0.621,0.005,0.183,0.039,0.071,0.0,0.071,0.02,,0.627,0.0,0.856,0.82,0.972,0.0,6.0,10011.0,2015,0.080808081,3:15 PM,,8:30 AM
0.278396427631,0.721603572369,1.0,0.675,,2.0,2.22,2.16,63.0,,,61.0,70.0,56.0,60.0,91.0,65.0,,68.0,386.0,395.0,371.0,0.234,0.14,0.04,0.753,02M393,449.0,2.0,0.701,0.16,0.12,0.04,0.022,0.354,0.073,0.595,0.0,0.223,0.016,0.195,0.0,0.74,0.169,,0.51,0.0,0.847,0.85,0.973,0.0,6.0,10019.0,2015,0.066666667,3:30 PM,CTE School,8:50 AM
0.558352410793,0.441647589207,0.846681892872,0.702,1727.91666667,2.0,2.44,2.4,69.0,49.0,60.0,64.0,71.0,69.0,65.0,82.0,72.0,,68.0,433.0,446.0,411.0,0.262,0.088,0.105,0.19,02M399,437.0,2.0,0.714,0.035,0.105,0.123,0.311,0.204,0.121,0.403,0.002,0.174,0.057,0.0,0.0,0.0,0.071,,0.456,0.0,0.869,0.8,0.978,0.0,1.9,10003.0,2015,0.095238095,3:30 PM,,8:00 AM
0.504227519035,0.495772480965,0.732513427734,0.74,,2.0,2.6,2.55,63.0,64.0,66.0,64.0,73.0,66.0,67.0,88.0,71.0,71.0,79.0,454.0,469.0,444.0,0.422,0.171,0.176,0.45,02M400,1301.0,2.0,0.817,0.126,0.126,0.124,0.151,0.147,0.071,0.629,0.049,0.166,0.066,0.0,0.0,0.0,0.159,,0.732,0.0,0.891,0.84,0.971,0.003,14.4,10019.0,2015,0.0523077,3:00 PM,,8:15 AM
0.481327801943,0.518672227859,0.180497929454,0.786,1727.91666667,2.0,2.87,2.38,,,,,83.0,,,,,,,550.0,501.0,541.0,0.429,0.079,0.079,0.314,02M407,482.0,2.0,0.929,0.132,0.197,0.171,0.058,0.141,0.0,0.149,0.0,0.062,0.565,0.0,0.0,0.0,0.271,,0.671,0.0,0.917,0.9,0.978,0.0,3.4,10003.0,2015,0.0142857,3:00 PM,Consortium School,8:00 AM
0.731343269348,0.268656730652,0.305970162153,0.722,1611.25,2.0,3.05,2.71,69.0,69.0,,71.0,82.0,70.0,77.0,,75.0,,83.0,520.0,496.0,516.0,0.485,0.064,0.043,0.99,02M408,536.0,2.0,0.979,0.191,0.053,0.213,0.025,0.262,0.002,0.223,0.005,0.126,0.429,0.0,0.979,0.0,0.299,,0.596,0.0,0.944,0.84,0.967,0.0,10.0,10036.0,2015,0.0,3:30 PM,,8:15 AM
0.596452355385,0.403547674417,0.592017710209,0.943,1861.25,2.0,3.26,3.29,77.0,75.0,75.0,86.0,85.0,81.0,87.0,91.0,86.0,,89.0,526.0,592.0,531.0,0.981,0.028,0.364,1.0,02M411,451.0,2.0,1.0,0.131,0.262,0.103,0.548,0.062,0.002,0.149,0.002,0.1,0.228,0.0,0.0,0.0,0.276,,0.907,0.0,0.975,0.9,0.963,0.0,11.2,10010.0,2015,0.0,2:50 PM,,8:20 AM
0.551959097385,0.448040872812,0.33901193738,0.798,,2.0,3.28,3.17,77.0,77.0,68.0,75.0,,83.0,82.0,90.0,85.0,80.0,93.0,550.0,595.0,555.0,0.828,0.016,0.214,0.718,02M412,587.0,2.0,0.963,0.103,0.214,0.262,0.276,0.06,0.002,0.155,0.0,0.15,0.46,0.0,0.0,0.0,0.411,,0.81,0.0,0.942,0.89,0.964,0.0,8.8,10011.0,2015,0.0,2:50 PM,,8:00 AM
0.507713913918,0.492286115885,0.371668994427,0.899,1861.25,2.0,3.05,2.77,,,,,83.0,,,,,,,533.0,534.0,522.0,0.899,0.122,0.144,0.989,02M413,713.0,2.0,0.966,0.156,0.167,0.122,0.144,0.117,0.005,0.304,0.0,0.148,0.359,0.0,0.0,0.0,0.169,,0.722,0.0,0.941,0.88,0.967,0.0,7.9,10010.0,2015,0.0,3:10 PM,Consortium School,8:35 AM
0.552016973495,0.447983026505,0.719745218754,0.9,,2.0,3.18,3.13,70.0,66.0,65.0,83.0,87.0,76.0,89.0,87.0,83.0,,90.0,530.0,560.0,522.0,0.918,0.051,0.354,0.727,02M414,471.0,2.0,1.0,0.172,0.152,0.091,0.342,0.127,0.006,0.397,0.0,0.076,0.121,0.0,0.0,0.009,0.182,,0.828,0.0,0.948,0.84,0.95,0.0,10.0,10011.0,2015,0.0,2:45 PM,,8:15 AM
0.595194101334,0.404805928469,0.240295752883,0.86,,2.0,3.61,3.61,88.0,81.0,83.0,,93.0,84.0,91.0,94.0,91.0,80.0,94.0,617.0,641.0,631.0,0.992,0.0,0.219,1.0,02M416,541.0,2.0,1.0,0.133,0.234,0.367,0.201,0.044,0.0,0.109,0.0,0.059,0.614,0.0,0.0,0.008,0.225,,0.953,0.0,0.965,0.92,0.975,0.0,7.0,10021.0,2015,0.0,3:30 PM,,8:30 AM
0.63581186533,0.364188164473,0.42792108655,0.94,1478.41666667,2.0,3.37,3.22,76.0,81.0,77.0,,81.0,82.0,89.0,83.0,88.0,72.0,91.0,560.0,577.0,567.0,0.921,0.068,0.25,0.894,02M418,659.0,2.0,1.0,0.095,0.223,0.264,0.384,0.076,0.005,0.182,0.005,0.094,0.328,0.0,0.0,0.0,0.417,,0.899,0.0,0.964,0.89,0.973,0.0,3.0,10004.0,2015,0.00657895,3:00 PM,,8:30 AM
0.532394349575,0.467605620623,0.878873229027,0.306,,2.0,2.23,2.07,,,,,69.0,,,,,,,386.0,386.0,386.0,0.224,0.118,0.059,0.184,02M419,355.0,2.0,0.52,0.167,0.137,0.02,0.037,0.242,0.104,0.685,0.006,0.245,0.017,0.0,0.0,0.0,0.051,,0.5,0.0,0.819,0.83,0.967,0.0,3.0,10011.0,2015,0.180851064,3:20 PM,Consortium School,8:45 AM
0.703125,0.296875,1.0,0.869,1727.91666667,2.0,2.71,2.61,72.0,64.0,73.0,62.0,78.0,72.0,73.0,89.0,73.0,74.0,82.0,445.0,452.0,430.0,0.516,0.179,0.373,0.884,02M420,1664.0,2.0,0.9,0.06,0.119,0.052,0.224,0.189,0.043,0.509,0.004,0.124,0.073,0.0,0.0,0.004,0.076,,0.789,0.0,0.916,0.87,0.97,0.0,5.8,10003.0,2015,0.0200445,3:45 PM,,9:00 AM
0.287234038115,0.712765932083,0.414893627167,,,2.0,2.56,2.27,66.0,48.0,53.0,63.0,79.0,64.0,63.0,89.0,77.0,,77.0,,,,,,,,02M422,564.0,2.0,,,,,0.087,0.219,0.03,0.415,0.011,0.362,0.242,,,,,,,,0.89,0.82,0.968,,0.9,10011.0,2015,,3:50 PM,,9:00 AM
0.57367670536,0.426323324442,0.741058647633,0.549,1381.91666667,2.0,2.33,2.18,61.0,,,67.0,71.0,57.0,61.0,98.0,65.0,,70.0,396.0,390.0,392.0,0.148,0.101,0.128,0.284,02M425,699.0,2.0,0.636,0.081,0.115,0.02,0.039,0.279,0.067,0.619,0.043,0.203,0.044,0.0,0.0,0.006,0.093,,0.459,0.0,0.792,0.83,0.972,0.0,4.0,10006.0,2015,0.092592593,2:45 PM,,8:30 AM
0.505988001823,0.494011968374,0.829341292381,0.461,,2.0,1.83,2.07,62.0,,,55.0,66.0,59.0,65.0,95.0,66.0,,71.0,334.0,350.0,321.0,0.079,0.24,0.052,0.067,02M427,334.0,2.0,0.539,0.021,0.021,0.0,0.024,0.048,0.784,0.913,0.003,0.033,0.015,0.0,0.0,0.0,0.0,,0.354,0.0,0.851,0.83,0.965,0.0,5.0,10016.0,2015,0.238636364,3:40 PM,,9:00 AM
0.473684221506,0.526315808296,0.947368443012,0.65,,,2.19,2.03,,,,,,,,,,,,,,,0.25,0.114,0.091,0.1,02M429,19.0,,0.65,0.045,0.045,0.0,0.0,0.368,0.0,0.632,0.0,0.474,0.0,0.0,0.0,0.0,0.05,,0.295,0.0,0.828,0.68,0.962,0.0,2.9,,2015,,,,
0.333333343267,0.666666686535,0.790890276432,0.718,,2.0,2.28,2.23,58.0,,,,67.0,49.0,54.0,,64.0,,65.0,407.0,378.0,388.0,0.085,0.286,0.224,0.034,02M437,483.0,2.0,0.726,0.051,0.061,0.102,0.064,0.292,0.087,0.594,0.004,0.222,0.033,0.0,0.0,0.009,0.026,,0.724,0.0,0.826,0.82,0.97,0.0,5.0,10011.0,2015,0.042735,3:30 PM,,8:45 AM
0.439093470573,0.560906529427,0.832861185074,0.532,1727.91666667,2.0,1.76,2.17,63.0,,,,56.0,,,,,,,330.0,403.0,316.0,0.291,0.097,0.118,0.253,02M438,353.0,2.0,0.544,0.043,0.054,0.0,0.306,0.142,0.864,0.453,0.0,0.048,0.099,0.0,0.0,0.0,0.089,,0.344,0.0,0.835,0.85,0.971,0.0,1.0,10003.0,2015,0.166666667,3:05 PM,International School,8:45 AM
