,act_percent_took_exam,asian_percent,black_percent,class_grad_year,college_career_readiness_index,college_nys_private,college_nys_public,college_out_of_state,college_readiness_index,cuny_2yr,cuny_4yr,dbn,disability_percent,district_admin_code,district_geo_code,dropouts_percent,ell_percent,enrollment,grade8_english,grade8_math,graduation_rate,hispanic_percent,male_percent,post-secondary_enroll_rate,poverty_percent,public_service,regents_algebra,regents_english,sat_math,sat_percent_took_exam,sat_reading,sat_score_overall,sat_writing,school_desc,school_environment_survey,self-contained_percent,student_attendance_rate,teacher_attendance,vocational_prog,white_percent,zip_code,school_day_length
815,0.083,0.381023,0.044914,2014,0.458,0.04,0.041,0.012,0.37,0.299,0.149,20K445,0.187388,20.0,20.0,0.115584416,0.212374,3362.0,2.409434,2.483606,0.699,0.287924,0.585068404675,0.541,0.763236165047,0.0,73.0,69.0,509.0,0.591,428.0,1353.0,416.0,General Academic,0.85,0.087448,0.85,0.961,0.0,0.28138,11214.0,420.0
816,0.131,0.172887,0.089109,2014,0.766,0.078,0.095,0.047,0.551,0.267,0.209,20K485,0.261995,20.0,20.0,0.0419355,0.064737,1313.0,2.583445,2.580615,0.865,0.565118,0.54150801897,0.696,0.81340444088,0.0,70.0,74.0,481.0,0.772,446.0,1370.0,443.0,General Academic,0.92,0.070069,0.925,0.963,0.0,0.166794,11220.0,420.0
817,0.102,0.310864,0.053046,2014,0.497,0.078,0.047,0.023,0.416,0.232,0.197,20K490,0.158212,20.0,20.0,0.115664845,0.198054,4317.0,2.609875,2.64434,0.681,0.286773,0.543896198273,0.577,0.629140615463,0.0,71.0,73.0,504.0,0.655,442.0,1392.0,446.0,General Academic,0.84,0.079453,0.919,0.962,0.0,0.335186,11209.0,405.0
818,0.037,0.409904,0.111182,2014,0.487,0.018,0.034,0.004,0.324,0.288,0.149,20K505,0.14984,20.0,20.0,0.155792277,0.361661,3130.0,2.354127,2.399951,0.577,0.282109,0.569968044758,0.493,0.813738048077,0.0,74.0,71.0,506.0,0.48,427.0,1345.0,412.0,General Academic,0.85,0.08115,0.853,0.96,0.0,0.191054,11204.0,405.0
819,0.077,0.438538,0.20598,2014,0.462,,,,0.477,,,20K609,0.136213,20.0,20.0,0.015625,0.116279,301.0,2.576629,2.363919,0.954,0.225914,0.0,,0.911340177059,,73.0,79.0,441.0,0.769,434.0,1334.0,459.0,General Academic,0.91,0.023256,0.892,0.977,,0.119601,11204.0,420.0
820,0.0,0.408696,0.098551,2014,0.512,0.05,0.013,0.0,0.155,0.237,0.113,21K337,0.026087,21.0,21.0,0.095238095,0.875362,345.0,1.739298,2.300556,0.607,0.197101,0.646376788616,0.413,0.927536249161,0.0,67.0,64.0,385.0,0.679,325.0,1057.0,347.0,General Academic,0.88,0.005797,0.899,0.97,0.0,0.289855,11214.0,405.0
821,0.052,0.148936,0.218569,2014,0.661,0.057,0.016,0.016,0.209,0.346,0.172,21K344,0.189555,21.0,21.0,0.0614035,0.11412,517.0,2.463607,2.305471,0.696,0.216634,0.543520331383,0.607,1.0,0.0,69.0,78.0,436.0,0.522,418.0,1268.0,414.0,General Academic,0.85,0.067698,0.851,0.96,0.0,0.402321,11224.0,435.0
822,0.034,0.024768,0.705882,2014,0.153,0.062,0.092,0.123,0.186,0.077,0.046,21K348,0.198142,21.0,21.0,0.0344828,0.049536,323.0,2.216645,2.130962,0.831,0.210526,0.897832810879,0.4,0.808049559593,0.0,64.0,65.0,406.0,0.695,403.0,1186.0,377.0,General Academic,0.8,0.074303,0.825,0.949,0.0,0.049536,11214.0,480.0
823,0.04,0.166883,0.369217,2014,0.415,0.045,0.031,0.016,0.297,0.271,0.152,21K410,0.162127,21.0,21.0,0.067503925,0.147428,2313.0,2.447561,2.364997,0.693,0.232598,0.583225250244,0.515,0.676178097725,0.0,64.0,66.0,439.0,0.588,416.0,1269.0,414.0,General Academic,0.81,0.085603,0.849,0.959,0.0,0.222222,11235.0,462.0
824,0.0,0.072727,0.257576,2014,1.0,0.0,0.014,0.014,0.613,0.784,0.043,21K468,0.130303,21.0,21.0,0.0,0.006061,330.0,2.758607,2.788851,0.933,0.227273,0.553539037704,0.855,0.751361191273,0.0,74.0,80.0,482.0,0.773,460.0,1393.0,451.0,General Academic,0.84,0.00303,0.906,0.948,0.0,0.436364,11214.0,380.0
